method,iteration,elapsed_s,objective,gap_to_exact,trace,grad_norm,step,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
lrp,1,0.03609728813171387,1943.1731172173952,177897.76495925005,best_lagrangian_dual,3015.463133959403,0.009932597022613584,,,,,
lrp,2,0.06432342529296875,8379.1314741783,171461.80660228914,best_lagrangian_dual,3015.463133959403,0.009578701406270547,,,,,
lrp,3,0.09592914581298828,14585.778459268462,165255.15961719898,best_lagrangian_dual,3015.463133959403,0.009237414990419756,,,,,
lrp,4,0.12752079963684082,20571.284371665213,159269.65370480224,best_lagrangian_dual,3015.463133959403,0.008908288512821976,,,,,
lrp,5,0.16379833221435547,26343.52840510222,153497.40967136523,best_lagrangian_dual,3015.463133959403,0.008590888718324204,,,,,
lrp,6,0.20085954666137695,31910.10901987391,147930.82905659353,best_lagrangian_dual,3015.463133959403,0.008284797788531728,,,,,
lrp,7,0.23771023750305176,37278.353945288356,142562.5841311791,best_lagrangian_dual,3015.463133959403,0.007989612791800793,,,,,
lrp,8,0.2715475559234619,42455.32982573556,137385.6082507319,best_lagrangian_dual,3015.463133959403,0.0077049451528279035,,,,,
lrp,9,0.30569911003112793,47447.85152306901,132393.08655339846,best_lagrangian_dual,3015.463133959403,0.007430420141137474,,,,,
lrp,10,0.3386189937591553,52262.491087546274,127578.44698892118,best_lagrangian_dual,3015.463133959403,0.007165676377794538,,,,,
lrp,11,0.3706235885620117,56905.586409137104,122935.35166733035,best_lagrangian_dual,3015.463133959403,0.006910365359693145,,,,,
lrp,12,0.4058566093444824,61383.24956058825,118457.68851587921,best_lagrangian_dual,3015.463133959403,0.006664151000794221,,,,,
lrp,13,0.4386112689971924,65701.3748432271,114139.56323324036,best_lagrangian_dual,3015.463133959403,0.006426709189708989,,,,,
lrp,14,0.47080230712890625,69865.64654609551,109975.29153037195,best_lagrangian_dual,3015.463133959403,0.0061977273630455885,,,,,
lrp,15,0.5021824836730957,73881.54642862822,105959.39164783923,best_lagrangian_dual,3015.463133959403,0.0059769040939571996,,,,,
lrp,16,0.5337729454040527,77754.36093672509,102086.57713974237,best_lagrangian_dual,3015.463133959403,0.0057639486953501165,,,,,
lrp,17,0.5658354759216309,81489.18816171719,98351.74991475027,best_lagrangian_dual,3015.463133959403,0.0055585808372293774,,,,,
lrp,18,0.5976927280426025,85090.9445513865,94749.99352508095,best_lagrangian_dual,3015.463133959403,0.0053605301776782814,,,,,
lrp,19,0.6300253868103027,88564.37138187436,91276.5666945931,best_lagrangian_dual,3015.463133959403,0.005169536006985979,,,,,
lrp,20,0.6668448448181152,91914.04099899702,87926.89707747044,best_lagrangian_dual,3015.463133959403,0.004985346904454723,,,,,
lrp,21,0.7013332843780518,95144.3628371855,84696.57523928196,best_lagrangian_dual,3015.463133959403,0.004807720407434952,,,,,
lrp,22,0.7404863834381104,98259.58922397195,81581.3488524955,best_lagrangian_dual,3015.463133959403,0.004636422692152581,,,,,
lrp,23,0.774752140045166,101263.82097766399,78577.11709880347,best_lagrangian_dual,3015.463133959403,0.0044712282659083126,,,,,
lrp,24,0.8058333396911621,104161.01280557533,75679.92527089213,best_lagrangian_dual,3015.463133959403,0.004311919670243804,,,,,
lrp,25,0.8415610790252686,106954.97850991912,72885.95956654834,best_lagrangian_dual,3015.463133959403,0.004158287194683948,,,,,
lrp,26,0.8740761280059814,109649.3960082168,70191.54206825065,best_lagrangian_dual,3015.463133959403,0.004010128600678409,,,,,
lrp,27,0.905738353729248,112247.81217483111,67593.12590163635,best_lagrangian_dual,3015.463133959403,0.0038672488553790772,,,,,
lrp,28,0.9405665397644043,114753.64750999658,65087.29056647088,best_lagrangian_dual,3015.463133959403,0.003729459874902936,,,,,
lrp,29,0.9718139171600342,117170.20064249405,62670.73743397341,best_lagrangian_dual,3015.463133959403,0.003596580276742403,,,,,
lrp,30,1.0034008026123047,119500.65267189595,60340.28540457151,best_lagrangian_dual,3015.463133959403,0.0034684351409972254,,,,,
lrp,31,1.036506175994873,121748.07135609865,58092.86672036881,best_lagrangian_dual,3015.463133959403,0.003344855780113613,,,,,
lrp,32,1.0702919960021973,123757.72526120707,56083.212815260384,best_lagrangian_dual,2984.1397856156723,0.003302606229806065,,,,,
lrp,33,1.105471134185791,125277.0418618459,54563.89621462156,best_lagrangian_dual,2984.1397856156723,0.0032173001545017406,,,,,
lrp,34,1.1482548713684082,126757.11462676022,53083.82344970724,best_lagrangian_dual,2984.1397856156723,0.0031341975288300588,,,,,
lrp,35,1.1835846900939941,128156.74851082108,51684.189565646375,best_lagrangian_dual,2978.7468913459306,0.0030666854820394895,,,,,
lrp,36,1.220954418182373,129468.91708540912,50372.020991058336,best_lagrangian_dual,2978.7468913459306,0.0029927432710325475,,,,,
lrp,37,1.2565853595733643,130749.44738271466,49091.4906937528,best_lagrangian_dual,2978.7468913459306,0.00292058391340285,,,,,
