ramping_case,s_chp_states,s_chp_transition_arcs,d_chp_on_intervals,s_chp_arc_growth,s_chp_time_s,d_chp_time_s,s_chp_total_uplift,d_chp_total_uplift
base,3400,25711,905,1.0,4.360110521316528,5.597440958023071,2736.8003549509685,2736.800356938481
heterogeneous,19656,1307870,905,50.868110925284896,249.2121546268463,6.0057477951049805,2741.937460785912,2741.937460993696
