binding_line_hours_095,binding_line_hours_099,committed_units,congested_dual_line_hours,dual_abs_sum,fmax_scale,lmp_max,lmp_min,lmp_obj,lmp_time_s,load_min_mw,load_peak_mw,load_scale,max_line_util,milp_obj,online_units_avg,online_units_max,status,uc_time_s,warm_start
3,1,17,1,2.6148274514306387,0.9,53.35050000000023,36.329999999999735,2236372.198374551,0.9586005210876465,1420.1478260869567,4454.099999999999,1.05,1.0000000000000018,2236372.198374518,13.0,17,ok,2.0385186672210693,1
3,2,17,2,11.730403675108192,0.85,53.35050000021247,36.32999999993471,2236536.3667994905,0.3760979175567627,1420.1478260869567,4454.099999999999,1.05,1.0000000000000002,2236536.366794628,13.0,17,ok,1.1842396259307861,1
3,1,17,1,4.410733897414667,0.8,53.3505000000055,36.3299999999982,2236905.5536872097,0.3845632076263428,1420.1478260869567,4454.099999999999,1.05,0.9999999999999997,2236905.5536872013,13.333333333333334,17,ok,1.1731994152069092,1
4,1,17,1,1.0977324964289297,0.75,53.35050000000445,36.32999999999852,2236937.4298446057,0.38597655296325684,1420.1478260869567,4454.099999999999,1.05,1.0,2236937.429844586,13.0,17,ok,1.0987207889556885,1
