case,network,congestion,T,segments,ramp_scenario,load_scenario,load_scale,fixed_cost_multiplier,method,method_name,milp_obj,pricing_obj,duality_gap,gen_uplift,ftr_cost,total_uplift,lmp_min,lmp_max,method_time,build_time,solver_time,total_time,schedule_time,chp_time,oracle_time,on_arcs,off_arcs,dag_edges,v_vars,n_iter,n_columns,converged,stop_reason,upper_bound,bound_gap,n_states,n_arcs
118,ptdf,tight,24,3,base,base,1.2,1.0,mirp,M-IRP（LP 松弛 / LR 对偶界）,2609091.7552858265,2604302.8568063406,4788.898479485884,3771.933347548781,2.4584275369743053e-07,3771.933347794624,39.43213148485252,60.85989999724733,0.9299287796020508,,,0.9299287796020508,2.178131580352783,,,9436,8454,17890,88326,,,,,,,,
118,ptdf,tight,24,3,base,base,1.2,1.0,level,Level method（86 次迭代）,2609091.7552858265,2608507.9921456473,583.7631401792169,503.7967021680372,79.96643801006434,583.7631401781016,37.797676490268046,73.88657868517532,85.78418517112732,,,85.78418517112732,2.178131580352783,,,9436,8454,17890,88326,86,,True,relative_gap,2608760.2122950098,252.22014936245978,,
118,ptdf,tight,24,3,base,base,1.2,1.0,dwp_incremental,Dantzig-Wolfe (incremental)（86 轮，收敛）,2609091.7552858265,2608545.0143494466,546.7409363798797,459.2987724447812,87.44216393412968,546.7409363789109,37.830000000000005,73.64119999999986,95.18595004081726,,,95.18595004081726,2.178131580352783,,,9436,8454,17890,88326,86,2226,True,reduced_cost,,,,
118,ptdf,tight,24,3,base,base,1.2,1.0,lmp,传统 LMP（固定启停 LP）,2609091.7552858265,2609091.75528589,nan,2464.7614999572825,1.1354496942161645e-08,2464.761499968637,37.829999999999245,68.87173947753288,0.3777501583099365,,,0.3777501583099365,2.178131580352783,,,9436,8454,17890,88326,,,,,,,,
