case,network,congestion,T,segments,ramp_scenario,load_scenario,fixed_cost_multiplier,method,method_name,milp_obj,pricing_obj,duality_gap,gen_uplift,ftr_cost,total_uplift,lmp_min,lmp_max,method_time,build_time,solver_time,total_time,schedule_time,chp_time,oracle_time,on_arcs,off_arcs,dag_edges,v_vars,n_iter,n_columns,converged,stop_reason,upper_bound,bound_gap,n_states,n_arcs
118,ptdf,tight,24,3,base,base,1.0,chp,CHP 原空间精确 LP（本文）,2115091.124731886,2115039.7027538554,51.421978030819446,51.42431333242757,0.00010016536788080087,51.424413497795456,37.07999996154763,53.35050000478023,1540.9252877235413,71.20814200001769,1463.7590000629425,1540.460069600027,0.9882748126983643,1540.9252877235413,0.7920434474945068,9274,8278,17552,86555,,,,,,,,
118,ptdf,tight,24,3,base,base,1.0,mirp,M-IRP（LP 松弛 / LR 对偶界）,2115091.124731886,2110291.9029849647,4799.221746921539,3468.633967457202,1.6687327541595118e-10,3468.6339674573687,39.14969999999977,51.71850000000001,1.9650654792785645,,,1.9650654792785645,0.9882748126983643,,,9274,8278,17552,86555,,,,,,,,
118,ptdf,tight,24,3,base,base,1.0,level,Level method（44 次迭代）,2115091.124731886,2114953.2093990757,137.9153328104876,137.91533272166043,8.737288019999037e-08,137.91533280903332,36.764919287274424,53.27843002465256,74.27482748031616,,,74.27482748031616,0.9882748126983643,,,9274,8278,17552,86555,44,,True,relative_gap,2115163.0886319936,209.8792329179123,,
118,ptdf,tight,24,3,base,base,1.0,dwp,Dantzig-Wolfe（73 轮，收敛）,2115091.124731886,2115039.7004304347,51.42430145153776,51.42430144973241,0.0,51.42430144973241,37.08000000000205,53.35050000000003,5089.903609752655,,,5089.903609752655,0.9882748126983643,,,9274,8278,17552,86555,73,1439,True,reduced_cost,,,,
118,ptdf,tight,24,3,base,base,1.0,dwp_incremental,Dantzig-Wolfe (incremental)（87 轮，收敛）,2115091.124731886,2115039.7004304356,51.424301450606436,51.42430145016988,0.0,51.42430145016988,37.080000000000005,53.35050000000003,185.96890258789062,,,185.96890258789062,0.9882748126983643,,,9274,8278,17552,86555,87,1824,True,reduced_cost,,,,
118,ptdf,tight,24,3,base,base,1.0,xiao,Xiao explicit M-CHP（185138 arcs）,2115091.124731886,2115039.700430478,51.42430140823126,51.424330779079355,6.462633135594962e-05,51.42439540541071,37.07999895429041,53.35050010655756,564.5168361663818,,,564.5168361663818,0.9882748126983643,,,9274,8278,17552,86555,,,,,,,24170,185138
118,ptdf,tight,24,3,base,base,1.0,lmp,传统 LMP（固定启停 LP）,2115091.124731886,2115091.1247320203,nan,930.8350000269297,1.7996800889986168e-08,930.8350000449266,37.07999999999187,55.852900000002,0.9952425956726074,,,0.9952425956726074,0.9882748126983643,,,9274,8278,17552,86555,,,,,,,,
