case,network,congestion,T,segments,ramp_scenario,load_scenario,fixed_cost_multiplier,method,method_name,milp_obj,pricing_obj,duality_gap,gen_uplift,ftr_cost,total_uplift,lmp_min,lmp_max,method_time,schedule_time,chp_time,oracle_time,on_arcs,off_arcs,dag_edges,v_vars,n_iter,n_columns,converged,stop_reason,upper_bound,bound_gap,n_states,n_arcs
6,single,none,24,3,base,base,1.0,chp,CHP 原空间精确 LP（本文）,49401.166956730776,47272.521379019476,2128.6455777113006,2128.6488220743468,0.0,2128.6488220743468,11.999875002912573,24.099989950884222,0.57967209815979,0.0775761604309082,0.57967209815979,0.04915046691894531,640,540,1180,6030,,,,,,,,
6,single,none,24,3,base,base,1.0,mirp,M-IRP（LP 松弛 / LR 对偶界）,49401.166956730776,47248.11505219001,2153.0519045407636,2153.051906831718,0.0,2153.051906831718,11.999874999970945,24.099989998499865,0.02059340476989746,0.0775761604309082,,,640,540,1180,6030,,,,,,,,
6,single,none,24,3,base,base,1.0,level,Level method（75 次迭代）,49401.166956730776,47270.00342470339,2131.1635320273854,2131.163532027381,0.0,2131.163532027381,11.999829706351136,24.100115616084736,1.4805114269256592,0.0775761604309082,,,640,540,1180,6030,75,,True,relative_gap,47274.730530763234,4.727106059843209,,
6,single,none,24,3,base,base,1.0,dwp,Dantzig-Wolfe（126 轮，收敛）,49401.166956730776,47272.51775034594,2128.6492063848345,2128.648439989325,0.0,2128.648439989325,11.999874999999875,24.099990000000027,5.063303470611572,0.0775761604309082,,,640,540,1180,6030,126,333,True,reduced_cost,,,,
6,single,none,24,3,base,base,1.0,xiao,Xiao explicit M-CHP（22837 arcs）,49401.166956730776,47272.51851709876,2128.6484396320157,2128.648439989121,0.0,2128.648439989121,11.999874999999209,24.099990000000567,0.5869839191436768,0.0775761604309082,,,640,540,1180,6030,,,,,,,2456,22837
6,single,none,24,3,base,base,1.0,lmp,传统 LMP（固定启停 LP）,49401.166956730776,49401.16695675791,nan,5967.189687616259,0.0,5967.189687616259,11.333124999374006,12.833149999979891,0.005030155181884766,0.0775761604309082,,,640,540,1180,6030,,,,,,,,
