method,iteration,elapsed_s,objective,gap_to_exact,trace,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
level,22,2.1120097637176514,179024.00617719613,816.9318903747189,best_level_dual,185420.95975481597,0.03449962499427567,,,
level,23,2.2483739852905273,179024.00617719613,816.9318903747189,best_level_dual,183768.062724902,0.025815457143974197,,,
level,24,2.427652359008789,179024.00617719613,816.9318903747189,best_level_dual,183555.07257361474,0.02468505137389448,,,
level,25,2.595346212387085,179085.33679756502,755.6012700058345,best_level_dual,182929.82426861188,0.021016187417321627,,,
level,26,2.756032705307007,179291.94683451703,548.9912330538209,best_level_dual,182929.82426861182,0.019886737707422563,,,
level,27,2.9105582237243652,179291.94683451703,548.9912330538209,best_level_dual,181728.71512213952,0.01340882361923232,,,
level,28,3.078508138656616,179355.10757907518,485.8304884956742,best_level_dual,181728.71512213943,0.013061268503818762,,,
level,29,3.252450704574585,179522.6760100223,318.26205754856346,best_level_dual,181337.4272939167,0.01000759363897344,,,
level,30,3.4196853637695312,179522.6760100223,318.26205754856346,best_level_dual,181197.98688994942,0.009245747751847975,,,
level,31,3.590644121170044,179522.6760100223,318.26205754856346,best_level_dual,180955.9775415334,0.007920719453338438,,,
level,32,3.77854585647583,179601.16569002075,239.7723775501072,best_level_dual,180955.9775415334,0.007486969316621119,,,
level,33,3.970651626586914,179601.16569002075,239.7723775501072,best_level_dual,180930.37489660695,0.007346523254294854,,,
level,34,4.160918235778809,179601.16569002075,239.7723775501072,best_level_dual,180765.3540718501,0.006440329164883105,,,
level,35,4.389653205871582,179615.81823965523,225.11982791562332,best_level_dual,180431.72165047712,0.00452195103698238,,,
level,36,4.600142955780029,179698.1095049197,142.8285626511497,best_level_dual,180427.87005746659,0.004044611025527556,,,
level,37,4.823437452316284,179698.1095049197,142.8285626511497,best_level_dual,180427.22324568554,0.004041040634832659,,,
level,38,5.029901742935181,179698.1095049197,142.8285626511497,best_level_dual,180260.1084306469,0.0031177110155985116,,,
level,39,5.254319667816162,179698.1095049197,142.8285626511497,best_level_dual,180260.10843064674,0.003117711015597546,,,
level,40,5.476783037185669,179744.12053257416,96.81753499669139,best_level_dual,180253.7618602135,0.0028273547380085707,,,
