hour,unit,bus,method,label,price,scheduled_output_MW
1,G1,1,lmp,LMP,42.68599999998385,104.93043478260876
2,G1,1,lmp,LMP,42.685999999760824,96.54782608695652
3,G1,1,lmp,LMP,41.982000000417955,92.35652173913046
4,G1,1,lmp,LMP,42.685999999760824,96.54782608695652
5,G1,1,lmp,LMP,42.68600000007976,111.21739130434784
6,G1,1,lmp,LMP,42.686000000000156,108.46086956521742
7,G1,1,lmp,LMP,57.10225873585198,120.0
8,G1,1,lmp,LMP,56.33999999627303,120.0
9,G1,1,lmp,LMP,56.97399999829019,120.0
10,G1,1,lmp,LMP,42.68599999966426,95.73913043478262
11,G1,1,lmp,LMP,42.686000000028045,108.97391304347826
12,G1,1,lmp,LMP,42.68599999976766,96.4
13,G1,1,lmp,LMP,41.98200000021478,92.20869565217393
14,G1,1,lmp,LMP,42.68599999992692,100.59130434782608
15,G1,1,lmp,LMP,42.685999999760824,96.5478260869566
16,G1,1,lmp,LMP,56.340000000560934,120.0
17,G1,1,lmp,LMP,70.32676238713384,120.0
18,G1,1,lmp,LMP,70.91440609767936,120.0
19,G1,1,lmp,LMP,86.33376069831654,120.0
20,G1,1,lmp,LMP,70.90348353977343,120.0
21,G1,1,lmp,LMP,62.62322421721933,120.0
22,G1,1,lmp,LMP,42.68600000055749,116.84347826086957
23,G1,1,lmp,LMP,41.98200000045074,91.69565217391306
24,G1,1,lmp,LMP,41.98199999993961,74.9304347826087
1,G1,1,mirp,IRP,55.637999997274676,104.93043478260876
2,G1,1,mirp,IRP,55.63799998407213,96.54782608695652
3,G1,1,mirp,IRP,42.686000003176105,92.35652173913046
4,G1,1,mirp,IRP,55.63799998274568,96.54782608695652
5,G1,1,mirp,IRP,55.638000005286045,111.21739130434784
6,G1,1,mirp,IRP,56.3400000021532,108.46086956521742
7,G1,1,mirp,IRP,71.87920117664929,120.0
8,G1,1,mirp,IRP,58.26000000152718,120.0
9,G1,1,mirp,IRP,56.34000000338737,120.0
10,G1,1,mirp,IRP,55.63799999555679,95.73913043478262
11,G1,1,mirp,IRP,42.68600000060918,108.97391304347826
12,G1,1,mirp,IRP,42.685999999406974,96.4
13,G1,1,mirp,IRP,41.98200000515321,92.20869565217393
14,G1,1,mirp,IRP,42.686000000027796,100.59130434782608
15,G1,1,mirp,IRP,55.637999979622386,96.5478260869566
16,G1,1,mirp,IRP,56.34000000355963,120.0
17,G1,1,mirp,IRP,57.9436259462812,120.0
18,G1,1,mirp,IRP,81.4020899212312,120.0
19,G1,1,mirp,IRP,93.27293454682366,120.0
20,G1,1,mirp,IRP,78.77461261108205,120.0
21,G1,1,mirp,IRP,62.62322421869044,120.0
22,G1,1,mirp,IRP,57.102258737351804,116.84347826086957
23,G1,1,mirp,IRP,57.75696902386671,91.69565217391306
24,G1,1,mirp,IRP,50.940369561323905,74.9304347826087
1,G1,1,level,LVM,55.62834350291513,104.93043478260876
2,G1,1,level,LVM,52.80136707689189,96.54782608695652
3,G1,1,level,LVM,42.70313138797155,92.35652173913046
4,G1,1,level,LVM,50.13246461620054,96.54782608695652
5,G1,1,level,LVM,56.33997290485206,111.21739130434784
6,G1,1,level,LVM,58.23744704726914,108.46086956521742
7,G1,1,level,LVM,69.48217111482444,120.0
8,G1,1,level,LVM,61.691994959803424,120.0
9,G1,1,level,LVM,56.26954186096657,120.0
10,G1,1,level,LVM,42.69371922149338,95.73913043478262
11,G1,1,level,LVM,42.67341559077653,108.97391304347826
12,G1,1,level,LVM,42.66497255216234,96.4
13,G1,1,level,LVM,42.032485665278955,92.20869565217393
14,G1,1,level,LVM,42.68950714718852,100.59130434782608
15,G1,1,level,LVM,45.01175335320596,96.5478260869566
16,G1,1,level,LVM,57.57412700338284,120.0
17,G1,1,level,LVM,56.622333312311696,120.0
18,G1,1,level,LVM,70.68120320611598,120.0
19,G1,1,level,LVM,114.17567539473663,120.0
20,G1,1,level,LVM,70.68700665772803,120.0
21,G1,1,level,LVM,64.27181218347926,120.0
22,G1,1,level,LVM,56.92214951338059,116.84347826086957
23,G1,1,level,LVM,42.676588982841,91.69565217391306
24,G1,1,level,LVM,42.004603631882844,74.9304347826087
1,G1,1,dwp,DWP,55.63799999999999,104.93043478260876
2,G1,1,dwp,DWP,46.67399999999884,96.54782608695652
3,G1,1,dwp,DWP,42.68600000000012,92.35652173913046
4,G1,1,dwp,DWP,56.33999999999993,96.54782608695652
5,G1,1,dwp,DWP,56.34000000000081,111.21739130434784
6,G1,1,dwp,DWP,58.259999999999565,108.46086956521742
7,G1,1,dwp,DWP,69.35394336175045,120.0
8,G1,1,dwp,DWP,61.84638897140576,120.0
9,G1,1,dwp,DWP,56.34000000000002,120.0
10,G1,1,dwp,DWP,42.68600000000001,95.73913043478262
11,G1,1,dwp,DWP,42.68600000000034,108.97391304347826
12,G1,1,dwp,DWP,42.68600000000022,96.4
13,G1,1,dwp,DWP,41.98200000000003,92.20869565217393
14,G1,1,dwp,DWP,42.68600000000028,100.59130434782608
15,G1,1,dwp,DWP,44.625596825397196,96.5478260869566
16,G1,1,dwp,DWP,57.61955714285712,120.0
17,G1,1,dwp,DWP,56.70264444444434,120.0
18,G1,1,dwp,DWP,70.31865303630249,120.0
19,G1,1,dwp,DWP,114.1106836208911,120.0
20,G1,1,dwp,DWP,70.9036855840014,120.0
21,G1,1,dwp,DWP,62.234806594131264,120.0
22,G1,1,dwp,DWP,56.97400000000006,116.84347826086957
23,G1,1,dwp,DWP,42.685999999999794,91.69565217391306
24,G1,1,dwp,DWP,41.982000000000006,74.9304347826087
