case,network,congestion,T,segments,ramp_scenario,load_scenario,load_scale,fixed_cost_multiplier,method,method_name,milp_obj,pricing_obj,duality_gap,gen_uplift,ftr_cost,total_uplift,lmp_min,lmp_max,method_time,build_time,solver_time,total_time,schedule_time,chp_time,oracle_time,on_arcs,off_arcs,dag_edges,v_vars,n_iter,n_columns,converged,stop_reason,upper_bound,bound_gap,n_states,n_arcs
30,ptdf,tight,24,3,base,base,1.0,1.0,chp,CHP 原空间精确 LP（本文）,182577.7384011529,179840.93806757085,2736.8003335820395,2719.6485599251428,17.15196960584076,2736.8005295309836,41.98200001816393,144.56312155620384,0.9233760833740234,0.15021960000740364,0.687999963760376,0.9099008999764919,0.08976602554321289,0.9233760833740234,0.06070330005604774,896,715,1611,8790,,,,,,,,
30,ptdf,tight,24,3,base,base,1.0,1.0,xiao,Xiao explicit M-CHP（25711 arcs）,182577.7384011529,179840.93804538573,2736.800355767162,2719.648374181715,17.151980769253264,2736.8003549509685,41.98200000012848,144.56312203296426,4.475949999992736,3.670489800046198,0.7310001850128174,4.475949999992736,0.08976602554321289,,0.05122059996938333,896,715,1611,8790,,,,,,,3400,25711
