build_time,delta,end_to_end_time,experiment,ftr_component,gen_uplift,method,milp_obj,n_constraints,n_nonzeros,n_variables,parameter_family,pricing_obj,pricing_time,primal_violation,response_time,seed,status,total_uplift,objective_change_pct,uplift_change_pct,study,schedule_change_ratio
0.220468699999401,0.001,0.8893925000011222,coefficient_perturbation,16.923667992033078,2725.053963771227,chp,182642.58992542943,64725.0,466042.0,19335.0,joint,179900.61230844856,0.8281227000006766,0.0,0.0612698000004456,1,optimal,2741.97763176326,0.033181689821204195,0.1891726152984365,joint,
0.4394979476928711,0.001,4.629469401359529,coefficient_perturbation,16.92366748490427,2725.0539624104053,dwp_incremental,182642.58992542943,,,,joint,179900.61229553493,4.571500301361084,,0.057969099998445,1,optimal,2741.9776298953097,0.033181682640619145,0.1891725470453676,joint,
0.2255771000000095,0.001,0.9639002000003528,coefficient_perturbation,16.92407175780817,2738.8353552761023,chp,182598.8015783261,64725.0,466042.0,19335.0,joint,179843.04215134602,0.9002612999993289,0.0,0.063638900001024,2,optimal,2755.7594270339105,0.0011699811813460441,0.6927458936960342,joint,
0.3816161155700683,0.001,4.474502621014835,coefficient_perturbation,16.924071758082672,2738.8353552750286,dwp_incremental,182598.8015783261,,,,joint,179843.0421512928,4.417617321014404,,0.056885300000431,2,optimal,2755.7594270331115,0.0011699811517471629,0.6927458936668398,joint,
0.2159956999985297,0.001,0.9484855999999128,coefficient_perturbation,16.678711849313974,2718.1249715031854,chp,182523.19182481387,64725.0,466042.0,19335.0,joint,179788.3887568948,0.8878507999997964,0.0,0.0606348000001162,3,optimal,2734.8036833525,-0.029219870564853607,-0.07295642154447105,joint,
0.4210438728332519,0.001,4.289697920779872,coefficient_perturbation,16.67871137272869,2718.124970855869,dwp_incremental,182523.19182481387,,,,joint,179788.38814259227,4.234046220779419,,0.0556517000004532,3,optimal,2734.8036822285976,-0.029220212145881025,-0.07295646261075357,joint,
0.2238330000000132,0.001,0.993160699999862,coefficient_perturbation,16.98123066356919,2712.311647786736,chp,182660.3996125896,64725.0,466042.0,19335.0,joint,179931.106758789,0.9309243999996396,0.0,0.0622363000002224,4,optimal,2729.292878450305,0.05013803506258557,-0.2743158262308483,joint,
0.457378625869751,0.001,4.9983706087004975,coefficient_perturbation,16.981230163945995,2712.3116256086305,dwp_incremental,182660.3996125896,,,,joint,179931.10675681665,4.9413793087005615,,0.056991299999936,4,optimal,2729.2928557725763,0.050138033965857205,-0.27431665485281015,joint,
0.2315261000003374,0.001,1.000954900000579,coefficient_perturbation,16.89415324421536,2727.345338266503,chp,182701.47580467383,64725.0,466042.0,19335.0,joint,179957.23635889715,0.9394052000006924,0.0,0.0615496999998868,5,optimal,2744.2394915107184,0.0646673187685129,0.27181875144651974,joint,
0.515066385269165,0.001,4.977773293454447,coefficient_perturbation,16.894152962947572,2727.345337695033,dwp_incremental,182701.47580467383,,,,joint,179957.2363140157,4.92306399345398,,0.0547093000004679,5,optimal,2744.23949065798,0.06466729381231884,0.2718187202882881,joint,
