build_time,delta,end_to_end_time,experiment,ftr_component,gen_uplift,method,milp_obj,n_constraints,n_nonzeros,n_variables,parameter_family,pricing_obj,pricing_time,primal_violation,response_time,schedule_change_ratio,seed,status,total_uplift,objective_change_pct,uplift_change_pct
0.2490442000016628,0.001,1.030328599999848,family_sensitivity,17.092458308816816,2719.539364066802,chp,182577.54609357603,64725.0,466042.0,19335.0,ramping,179840.914271217,0.9580430000005437,0.0,0.0722855999993044,0.0,1,optimal,2736.631822375619,-1.3220014177036514e-05,-0.006158015156940136
0.7367539405822754,0.001,5.592929193711825,family_sensitivity,17.09245830891845,2719.539364058384,dwp_incremental,182577.54609357603,,,,ramping,179840.9142712097,5.531754493713379,,0.0611746999984461,0.0,1,optimal,2736.6318223673024,-1.3220018238993443e-05,-0.006158015460813948
0.3835230999993655,0.001,1.3551106000013533,family_sensitivity,17.137361389932252,2719.5745620315943,chp,182577.69116825523,64725.0,466042.0,19335.0,ramping,179840.97924493856,1.267509400000563,0.0,0.0876012000007904,0.0,2,optimal,2736.7119234215265,2.2908423679494183e-05,-0.0032312015235449773
0.7459259033203125,0.001,5.555553206870172,family_sensitivity,17.13736138737956,2719.5745620033813,dwp_incremental,182577.69116825523,,,,ramping,179840.97924486728,5.494924306869507,,0.0606289000006654,0.0,2,optimal,2736.711923390761,2.2908384047093706e-05,-0.0032312026476853345
0.2685664000000543,0.001,1.1930243999995582,family_sensitivity,17.17752368876667,2719.68280474587,chp,182577.8209122437,64725.0,466042.0,19335.0,ramping,179840.96074763246,1.1136963000008109,0.0,0.0793280999987473,0.0,3,optimal,2736.8603284346364,1.2623053564220504e-05,0.002191372061008397
0.7770071029663086,0.001,5.632369580074737,family_sensitivity,17.177519355965863,2719.6827841574263,dwp_incremental,182577.8209122437,,,,ramping,179840.96060873053,5.567007780075073,,0.065361799999664,0.0,3,optimal,2736.8603035133924,1.2545817573195841e-05,0.0021904614632037986
0.2693167999987054,0.001,1.169916599999851,family_sensitivity,17.057545013867372,2719.6424612876963,chp,182577.43329264087,64725.0,466042.0,19335.0,ramping,179840.7332904847,1.0891548999989027,0.0,0.0807617000009486,0.0,4,optimal,2736.7000063015635,-0.00011385379327171212,-0.0036666413955652763
0.6520442962646484,0.001,5.292946117788233,family_sensitivity,17.057544502902868,2719.6424605080056,dwp_incremental,182577.43329264087,,,,ramping,179840.73328763,5.235044717788696,,0.0579013999995368,0.0,4,optimal,2736.7000050109086,-0.00011385538062298432,-0.003666688554826784
0.2393523000009736,0.001,1.0324145000013232,family_sensitivity,17.116206203934333,2719.525529534965,chp,182577.62281843304,64725.0,466042.0,19335.0,ramping,179840.98109653944,0.963614600001165,0.0,0.0687999000001582,0.0,5,optimal,2736.6417357389,2.3938000652330634e-05,-0.005795790588268026
0.5453927516937256,0.001,4.968785695849874,family_sensitivity,17.116205955042563,2719.525529142674,dwp_incremental,182577.62281843304,,,,ramping,179840.9810833352,4.909389495849609,,0.0593962000002648,0.0,5,optimal,2736.6417350977163,2.3930658479075377e-05,-0.005795814016493587
0.2716288000010536,0.01,1.1116091000021695,family_sensitivity,16.556756200229128,2718.5585829594484,chp,182575.8153253838,64725.0,466042.0,19335.0,ramping,179840.69998974216,1.0345936000012443,0.0,0.0770155000009253,0.0,1,optimal,2735.1153391596777,-0.0001323705686499229,-0.061568824103777835
0.5225660800933838,0.01,4.94243467898923,family_sensitivity,16.556756143287107,2718.5585826962424,dwp_incremental,182575.8153253838,,,,ramping,179840.6999865436,4.883569478988648,,0.0588652000005822,0.0,1,optimal,2735.1153388395296,-0.00013237234720446647,-0.06156883580167338
0.2281914999985019,0.01,1.0264805999977398,family_sensitivity,17.005787451048263,2718.910249348703,chp,182577.2660721757,64725.0,466042.0,19335.0,ramping,179841.35003753926,0.9611197999984142,0.0,0.0653607999993255,0.0,2,optimal,2735.916036799751,0.00022908650789817505,-0.03231211786931149
0.4178545475006103,0.01,4.617320560311782,family_sensitivity,17.005786927098555,2718.910248674798,dwp_incremental,182577.2660721757,,,,ramping,179841.3500365728,4.55785346031189,,0.0594670999998925,0.0,2,optimal,2735.9160356018965,0.00022908597050612823,-0.03231216163774137
0.2304328000009263,0.01,1.0285787000011624,family_sensitivity,17.407366628833884,2719.992760583887,chp,182578.5635120607,64725.0,466042.0,19335.0,ramping,179841.16339056764,0.9546047000003456,0.0,0.0739740000008168,0.0,3,optimal,2737.400127212721,0.00012530203388103376,0.021915089836301065
0.4588382244110107,0.01,4.9369198287840845,family_sensitivity,17.407366618371395,2719.992760484537,dwp_incremental,182578.5635120607,,,,ramping,179841.16338495797,4.87983512878418,,0.0570846999999048,0.0,3,optimal,2737.4001271029083,0.0001252989146379571,0.02191508582384744
0.2336627999993652,0.01,0.9387679000010394,family_sensitivity,16.2076181836015,2719.588247585955,chp,182574.68731603224,64725.0,466042.0,19335.0,ramping,179838.89145236445,0.8764178000001266,0.0,0.0623501000009127,0.0,4,optimal,2735.7958657695563,-0.001138002210344985,-0.036703049417430064
0.4006147384643554,0.01,4.551011196217587,family_sensitivity,16.2076180820891,2719.588246971344,dwp_incremental,182574.68731603224,,,,ramping,179838.89145097873,4.493617296218872,,0.0573938999987149,0.0,4,optimal,2735.7958650534333,-0.0011380029808707032,-0.03670307558385975
0.2345444000002317,0.01,0.9857535000010104,family_sensitivity,16.79423246358456,2718.420117914211,chp,182576.58257395335,64725.0,466042.0,19335.0,ramping,179841.36823672894,0.9220358000002308,0.0,0.0637177000007795,0.0,5,optimal,2735.214350377796,0.00023920611129893933,-0.0579510513298471
0.4587075710296631,0.01,4.830087595562873,family_sensitivity,16.79423261351833,2718.420117589811,dwp_incremental,182576.58257395335,,,,ramping,179841.36822374997,4.769705295562744,,0.0603823000001284,0.0,5,optimal,2735.2143502033296,0.000239198894382842,-0.05795105770468366
