scenario,method,iteration,elapsed_s,objective,gap_to_d_chp,rmp_obj,min_reduced_cost,columns
relaxed,level,1,0.0309603214263916,0.0,208453.6020967901,,,
relaxed,level,2,0.0820150375366211,186644.15307435265,21809.449022437446,,,
relaxed,level,3,0.14122700691223145,186644.15307435265,21809.449022437446,,,
relaxed,level,4,0.19969892501831055,186644.15307435265,21809.449022437446,,,
relaxed,level,5,0.2620735168457031,197278.38966744175,11175.21242934835,,,
relaxed,level,6,0.3245811462402344,203762.11885391444,4691.483242875664,,,
relaxed,level,7,0.3908257484436035,203762.11885391444,4691.483242875664,,,
relaxed,level,8,0.46070003509521484,204700.50878747445,3753.093309315649,,,
relaxed,level,9,0.5349774360656738,204700.50878747445,3753.093309315649,,,
relaxed,level,10,0.6096773147583008,205579.50649608744,2874.0956007026543,,,
relaxed,level,11,0.7014672756195068,206638.28373250618,1815.318364283914,,,
relaxed,level,12,0.7897162437438965,207606.3957226211,847.2063741690072,,,
relaxed,level,13,0.8747406005859375,207606.3957226211,847.2063741690072,,,
relaxed,level,14,0.9708571434020996,207606.3957226211,847.2063741690072,,,
relaxed,level,15,1.0693297386169434,207606.3957226211,847.2063741690072,,,
relaxed,level,16,1.166339635848999,207766.07676214862,687.5253346414829,,,
relaxed,level,17,1.2695937156677246,208132.44187906175,321.1602177283494,,,
relaxed,level,18,1.3851654529571533,208132.44187906175,321.1602177283494,,,
relaxed,level,19,1.4941389560699463,208132.44187906175,321.1602177283494,,,
relaxed,level,20,1.6144020557403564,208132.44187906175,321.1602177283494,,,
relaxed,level,21,1.7284235954284668,208132.44187906175,321.1602177283494,,,
relaxed,level,22,1.846365213394165,208132.44187906175,321.1602177283494,,,
relaxed,level,23,1.9793744087219238,208238.0079003362,215.59419645389426,,,
relaxed,level,24,2.15356183052063,208238.0079003362,215.59419645389426,,,
relaxed,level,25,2.291968584060669,208238.0079003362,215.59419645389426,,,
relaxed,level,26,2.470689058303833,208238.0079003362,215.59419645389426,,,
relaxed,level,27,2.6363699436187744,208238.0079003362,215.59419645389426,,,
relaxed,level,28,2.8315446376800537,208244.6246814262,208.9774153638864,,,
relaxed,level,29,3.0317471027374268,208245.66122226333,207.94087452677195,,,
relaxed,level,30,3.2086260318756104,208249.56506999335,204.0370267967519,,,
relaxed,level,31,3.389353036880493,208318.71101054782,134.8910862422781,,,
relaxed,level,32,3.5463016033172607,208318.71101054782,134.8910862422781,,,
relaxed,level,33,3.704965353012085,208330.78956563657,122.81253115352592,,,
relaxed,level,34,3.8608970642089844,208331.53616524194,122.06593154816073,,,
relaxed,level,35,4.021604061126709,208331.53616524194,122.06593154816073,,,
relaxed,level,36,4.183688163757324,208345.2464598093,108.35563698079204,,,
relaxed,level,37,4.350519895553589,208345.2464598093,108.35563698079204,,,
relaxed,level,38,4.517348527908325,208345.2464598093,108.35563698079204,,,
relaxed,level,39,4.686460018157959,208345.2464598093,108.35563698079204,,,
relaxed,level,40,4.865255355834961,208345.2464598093,108.35563698079204,,,
relaxed,level,41,5.0464701652526855,208353.7371821509,99.86491463921266,,,
relaxed,level,42,5.229674816131592,208374.33282956397,79.2692672261328,,,
relaxed,level,43,5.412574291229248,208402.48025463824,51.12184215185698,,,
relaxed,level,44,5.599903583526611,208402.49663340094,51.10546338916174,,,
relaxed,level,45,5.798507452011108,208402.49663340094,51.10546338916174,,,
relaxed,level,46,5.996766805648804,208418.10605556172,35.49604122838355,,,
relaxed,level,47,6.204040765762329,208421.33777983426,32.26431695584324,,,
relaxed,level,48,6.448936700820923,208424.05472697847,29.547369811625686,,,
relaxed,level,49,6.701073884963989,208424.05472697847,29.547369811625686,,,
relaxed,level,50,6.937690734863281,208431.4007945809,22.20130220919964,,,
relaxed,level,51,7.1908769607543945,208432.164015981,21.438080809108214,,,
relaxed,level,52,7.434369802474976,208432.84432803394,20.75776875615702,,,
relaxed,level,53,7.68189549446106,208433.98429217798,19.61780461212038,,,
relaxed,level,54,7.919873952865601,208437.678339218,15.923757572105387,,,
relaxed,level,55,8.180968284606934,208437.678339218,15.923757572105387,,,
relaxed,level,56,8.472508192062378,208441.17986407268,12.422232717421139,,,
relaxed,level,57,8.7268705368042,208442.3867352352,11.215361554903211,,,
relaxed,dwp,1,0.0865166187286377,-95405.85206579839,303859.45416258846,208538.44380333324,-75317.76181472861,17
relaxed,dwp,2,0.2118854522705078,-95405.85206579839,303859.45416258846,208538.44380333315,-356952.39906401304,23
relaxed,dwp,3,0.3608357906341553,-574.5255318626587,209028.12762865276,208538.4438033333,-54032.12350367573,29
relaxed,dwp,4,0.5431797504425049,-574.5255318626587,209028.12762865276,208538.44380333336,-140887.71090159108,35
relaxed,dwp,5,0.7672584056854248,-574.5255318626587,209028.12762865276,208538.44380333327,-81301.66712753278,41
relaxed,dwp,6,1.0206456184387207,-574.5255318626587,209028.12762865276,208538.44380333327,-76817.50252286239,47
relaxed,dwp,7,1.270777940750122,-574.5255318626587,209028.12762865276,208538.44380333324,-75645.10181816592,53
relaxed,dwp,8,1.558288812637329,67604.5361769456,140849.0659198445,208538.44380333324,-35326.839502911804,59
relaxed,dwp,9,1.8701186180114746,67604.5361769456,140849.0659198445,208538.44380333333,-61482.82780992065,65
relaxed,dwp,10,2.219505786895752,67604.5361769456,140849.0659198445,208538.44380333327,-66929.52427310217,71
relaxed,dwp,11,2.7282447814941406,67604.5361769456,140849.0659198445,208538.4438033332,-70750.52504703976,77
relaxed,dwp,12,3.170668125152588,67604.5361769456,140849.0659198445,208538.44380333324,-103194.40505173865,83
relaxed,dwp,13,3.703408718109131,67604.5361769456,140849.0659198445,208538.4438033332,-49668.20905203474,89
relaxed,dwp,14,4.255377531051636,67604.5361769456,140849.0659198445,208538.44380333333,-53568.55261316202,95
relaxed,dwp,15,4.76141881942749,67604.5361769456,140849.0659198445,208538.44380333336,-43862.811050856464,101
relaxed,dwp,16,5.257754802703857,92357.06382578576,116096.53827100433,208538.44380333318,-33430.502323059125,107
relaxed,dwp,17,5.7919018268585205,92357.06382578576,116096.53827100433,208538.44380333327,-29739.994854043216,113
relaxed,dwp,18,6.359264135360718,92357.06382578576,116096.53827100433,208538.44380333333,-38151.75472492301,119
relaxed,dwp,19,6.92317008972168,112822.82091209738,95630.78118469272,208538.44380333333,-24710.17508350012,125
relaxed,dwp,20,7.505088567733765,112822.82091209738,95630.78118469272,208538.44380333327,-30621.99424194046,131
relaxed,dwp,21,8.110673666000366,112822.82091209738,95630.78118469272,208538.44380333324,-28351.02306523251,137
relaxed,dwp,22,8.760615348815918,112822.82091209738,95630.78118469272,208538.44380333327,-29211.98816356029,143
relaxed,dwp,23,9.414724826812744,162647.00476440153,45806.59733238857,208538.4438033333,-12858.79493784472,149
relaxed,dwp,24,10.121779918670654,162647.00476440153,45806.59733238857,208538.44380333304,-17670.618088354797,155
relaxed,dwp,25,10.92996072769165,162647.00476440153,45806.59733238857,208538.44380333362,-21833.45379006685,161
relaxed,dwp,26,11.707454919815063,177404.185454567,31049.416642223106,208538.44380333344,-9536.470437495227,167
